dataset,window,seed,method,method_label,source_stage,shared_artifact_sha256,shared_code_sha256,sharpe,sortino,total_return,max_drawdown_improvement,calmar
portfolio_5stocks2,W1,42,pbir,PBIR-GIFT,Stage-C,a22cea220ca5f1477d64dd602ed440faa437d697f8e65a3ff817945a666e34ac,c743e6f002534443ffeb64a966e55c0deda57053a3e2b20cc8657331bd247597,2.903437121289488,3.2126448986200167,12.930180047497686,2.9499188832682735,10.076253184134265
portfolio_5stocks2,W1,42,pure_gift,Pure GIFT,Stage-C,a22cea220ca5f1477d64dd602ed440faa437d697f8e65a3ff817945a666e34ac,c743e6f002534443ffeb64a966e55c0deda57053a3e2b20cc8657331bd247597,1.928072367473889,1.8427136645172522,11.736921001618672,5.749531514485557,4.8142494190352
portfolio_5stocks2,W1,123,pbir,PBIR-GIFT,Stage-C,88f7d307c3ebfbf2091ef56199dd61b3ce95a5ee98ca56d0fdb04c13b7aab645,70285698b0c967f69bd2ee2bd049e309c2f97f3f613fb219e0a645aa348b20d6,2.4952671324585345,2.600605401346382,10.545110637921118,3.8366132227224217,6.400447160088474
portfolio_5stocks2,W1,123,pure_gift,Pure GIFT,Stage-C,88f7d307c3ebfbf2091ef56199dd61b3ce95a5ee98ca56d0fdb04c13b7aab645,70285698b0c967f69bd2ee2bd049e309c2f97f3f613fb219e0a645aa348b20d6,1.8110678302831986,1.8415173422822344,8.081102459916622,3.2484307102095196,5.916971332228106
portfolio_5stocks2,W1,456,pbir,PBIR-GIFT,Stage-C,15964fd5e4e8a634dae02c2dc5b247f21a88128266977f35e5a95c3369a3c1b0,531d39ce40cdfd5813f79e96790f420f707cd855a50f48c0144dd99bbd1dfdd2,2.6747558813449577,2.8164112752172032,12.212471800916823,3.232214127961798,8.7323885460501
portfolio_5stocks2,W1,456,pure_gift,Pure GIFT,Stage-C,15964fd5e4e8a634dae02c2dc5b247f21a88128266977f35e5a95c3369a3c1b0,531d39ce40cdfd5813f79e96790f420f707cd855a50f48c0144dd99bbd1dfdd2,2.4097839201230777,2.478737139974615,15.849413631716104,6.734204669055311,5.416753439538016
portfolio_5stocks2,W2,42,pbir,PBIR-GIFT,Stage-F,09ac250c5e5ca0450565046e67dacc9bbc77d770e21e57233d31025b1eac34d2,0d5985276e27812a8b47769c8f62754306cad4e44b1812792d0e9efd07a5adbe,1.101367527056962,1.0861339459672785,5.068022026313401,4.201841229853768,2.9783110915680284
portfolio_5stocks2,W2,42,pure_gift,Pure GIFT,Stage-F,09ac250c5e5ca0450565046e67dacc9bbc77d770e21e57233d31025b1eac34d2,0d5985276e27812a8b47769c8f62754306cad4e44b1812792d0e9efd07a5adbe,0.26280522512361915,0.24871776783548266,1.0796388200396967,6.2446332512785325,0.5497190615175114
portfolio_5stocks2,W2,123,pbir,PBIR-GIFT,Stage-F,4246221a97c2629279f728501f946da3652400392da5e40a1572b8550e980801,dee7865ef29d943e9782816532c0b1bf7f8fa30aa75f6a62e03084612a341053,0.8233874963263607,0.8579946241505106,4.365403128518897,6.287801592125445,1.7778403274405281
portfolio_5stocks2,W2,123,pure_gift,Pure GIFT,Stage-F,4246221a97c2629279f728501f946da3652400392da5e40a1572b8550e980801,dee7865ef29d943e9782816532c0b1bf7f8fa30aa75f6a62e03084612a341053,0.7120509325674647,0.655840842720015,2.7990046500363075,5.244200923383642,1.3591170199375753
portfolio_5stocks2,W2,456,pbir,PBIR-GIFT,Stage-F,8a2869c83d8e11e154d808c9b12228d09268bc2ed93ae423e01f99a2b2f73da9,83e38f4c6d77e585bd9b513220a8747a8d7f706b7aa6d0ffb88e95d1655b3116,1.2181512386529378,1.1367523940267052,6.071666814533816,4.4793997584790715,3.326357185941078
portfolio_5stocks2,W2,456,pure_gift,Pure GIFT,Stage-F,8a2869c83d8e11e154d808c9b12228d09268bc2ed93ae423e01f99a2b2f73da9,83e38f4c6d77e585bd9b513220a8747a8d7f706b7aa6d0ffb88e95d1655b3116,0.3481177012565805,0.32766310435079365,1.4670206326540258,5.751694328681353,0.7366548869215431
portfolio_5stocks2,W3,42,pbir,PBIR-GIFT,Stage-C,1fd1a82ceadcf56882e79095a79612a0875e3f5c42cfb5d76e17fda31a07dfc3,93b01567731f2cf5acf253595beb0485a3379228f061eeded9c8ae21c2b0f7f8,-0.7852970643940659,-0.6686597285569921,-9.085207087542258,16.412163071891875,-1.1993142363538223
portfolio_5stocks2,W3,42,pure_gift,Pure GIFT,Stage-C,1fd1a82ceadcf56882e79095a79612a0875e3f5c42cfb5d76e17fda31a07dfc3,93b01567731f2cf5acf253595beb0485a3379228f061eeded9c8ae21c2b0f7f8,-1.1777983808733816,-1.0300318064661111,-10.721401685406917,17.904196760102874,-1.3926583893112223
portfolio_5stocks2,W3,123,pbir,PBIR-GIFT,Stage-C,2f8f64d986e7c145676cbc1b36716558aff56a225d6f5fb815bec0d5bdc6d9e9,24ebfc8d27673220d33ab99f5a0d96b66f7fbf9dad8239b9212bf19708f3a359,0.09018060115460214,0.0801793607014304,-0.4369951722499321,16.534144549357325,0.14173622129575367
portfolio_5stocks2,W3,123,pure_gift,Pure GIFT,Stage-C,2f8f64d986e7c145676cbc1b36716558aff56a225d6f5fb815bec0d5bdc6d9e9,24ebfc8d27673220d33ab99f5a0d96b66f7fbf9dad8239b9212bf19708f3a359,-1.0160640730278443,-0.8843421083209181,-11.846534439408774,20.61186794676645,-1.2977209247656187
portfolio_5stocks2,W3,456,pbir,PBIR-GIFT,Stage-C,f0451780a3fbdc129134c75c63c8e5b039165087c1cf0f973191e70738cab080,74dc05cc1103899a48fe882c6e9ffff650bbc7e04a85c7403dd819f7013b76f5,0.23270140655719262,0.19929061536420767,1.0961446662071994,11.102542240220634,0.40164605887505844
