dataset,window,seed,method,method_label,test_total_return,test_sharpe,test_sortino,test_max_drawdown,test_calmar
portfolio_5stocks2,W1,456,ppo_tuned,PPO-Tuned,11.044990252531184,2.4871173761161915,2.455919695992186,3.769551037687404,6.815155636478976
portfolio_5stocks2,W2,42,pure_gift,Pure GIFT,1.249856784987724,0.33264151716845114,0.30408793890694624,6.6983967570391725,0.5303009289311285
portfolio_5stocks2,W2,42,ppo_tuned,PPO-Tuned,3.5516241075074895,0.7961783859700897,0.7686331853906717,4.815088929477373,1.8733388204072337
portfolio_5stocks2,W2,123,pure_gift,Pure GIFT,-0.8824532514537964,-0.12824772555251923,-0.11935559642249108,6.749410266888393,-0.21768886294359055
portfolio_5stocks2,W2,123,ppo_tuned,PPO-Tuned,5.42165820256908,1.0255062956207304,0.9868116844649653,4.88422742521312,2.7739832184854634
portfolio_5stocks2,W2,456,pure_gift,Pure GIFT,4.543081813893557,0.9344333584435186,0.8938609365975856,4.967722896174042,2.297077412197775
portfolio_5stocks2,W2,456,ppo_tuned,PPO-Tuned,4.254770470260993,0.8523211595602791,0.8417194708662451,5.34932076331396,2.020240180758609
portfolio_5stocks2,W3,42,pure_gift,Pure GIFT,-2.757400592629511,-0.16566369487094532,-0.14435010361271655,10.91228986503253,-0.35817385686333914
portfolio_5stocks2,W3,42,ppo_tuned,PPO-Tuned,-2.0336070532620987,-0.15463585685896644,-0.13540968153900249,10.017382050491458,-0.3012458025892967
portfolio_5stocks2,W3,123,pure_gift,Pure GIFT,-7.04329179256673,-0.5340102527970949,-0.4409244530068397,18.62334065555084,-0.7537591680367102
portfolio_5stocks2,W3,123,ppo_tuned,PPO-Tuned,-5.752105797653295,-0.5012976806332934,-0.4313788370226415,15.284682714700882,-0.7551138685886475
portfolio_5stocks2,W3,456,pure_gift,Pure GIFT,-6.80011230563744,-0.5623335327255665,-0.47206713911459797,16.88995452184431,-0.8196599565359369
portfolio_5stocks2,W3,456,ppo_tuned,PPO-Tuned,-5.753387606247329,-0.5352427753275327,-0.46197000987905074,15.203366210031003,-0.7748495774805435
portfolio_5stocks2,W4,42,pure_gift,Pure GIFT,-7.307462646201679,-0.8378740394372658,-0.9038638193939044,10.439952986193171,-1.5627563644306015
portfolio_5stocks2,W4,42,ppo_tuned,PPO-Tuned,-2.7561380132916202,-0.21287082127581156,-0.22769171666565033,11.001307327840628,-0.4082116880804781
portfolio_5stocks2,W4,123,pure_gift,Pure GIFT,-0.5036977941040299,0.04143061147681898,0.04355351239888378,11.857348392497922,0.07090068349356039
portfolio_5stocks2,W4,123,ppo_tuned,PPO-Tuned,0.7796775342157947,0.19289366749916273,0.20644308422264263,9.929422285983899,0.3749390876785521
portfolio_5stocks2,W4,456,pure_gift,Pure GIFT,2.0933871612326405,0.3968579245853632,0.418952493258652,7.951264260894396,0.7781165670638859
portfolio_5stocks2,W4,456,ppo_tuned,PPO-Tuned,2.5599422862904175,0.41475674509740307,0.412216691870491,9.542163679333052,0.8239647910598348
portfolio_5stocks2,W5,42,pure_gift,Pure GIFT,13.48537241222978,2.3795262204072283,2.6213275070957223,7.227646422920028,4.322385815979413
portfolio_5stocks2,W5,42,ppo_tuned,PPO-Tuned,8.196629493650365,1.7486344108632192,1.8180349866257755,5.360468344969414,3.644762248288887
portfolio_5stocks2,W5,123,pure_gift,Pure GIFT,3.783787186402532,0.8767297248237322,0.9125684216510619,6.454516089289064,1.472287731223902
portfolio_5stocks2,W5,123,ppo_tuned,PPO-Tuned,12.75698568027086,2.202820822043675,2.491720028822718,7.975616287250377,3.72911236821789
portfolio_5stocks2,W5,456,pure_gift,Pure GIFT,12.617325274722635,2.343264149771573,2.5938233292758586,7.923847855067074,3.699688885643092
portfolio_5stocks2,W5,456,ppo_tuned,PPO-Tuned,8.497663295462687,1.5305793516238246,1.6028377042984518,7.375321075986852,2.776118241663105
portfolio_5stocks2,W6,42,pure_gift,Pure GIFT,5.121475295313305,1.0535587332733407,0.9679592085144383,9.757029133267496,1.316968377185467
portfolio_5stocks2,W6,42,ppo_tuned,PPO-Tuned,6.773403341475559,1.320573519328229,1.1522606796616075,7.800302632267077,2.1390631930094566
portfolio_5stocks2,W6,123,pure_gift,Pure GIFT,6.119614480013369,1.2545479639437078,1.1505201081396634,7.780749944065324,1.943803967045673
portfolio_5stocks2,W6,123,ppo_tuned,PPO-Tuned,4.414070025291683,1.0143341474832752,0.9324831210240553,9.4185016307037,1.1747068826315308
portfolio_5stocks2,W6,456,pure_gift,Pure GIFT,3.984118938824488,0.8949421620372366,0.8560839002767062,8.689669769979421,1.1629759318519328
portfolio_5stocks2,W6,456,ppo_tuned,PPO-Tuned,7.771642999375072,1.4732331021858482,1.2714672010927475,9.262047005786885,2.048460230888217
