dataset,window,seed,method,baseline_source_stage,test_total_return,test_sharpe,test_sortino,test_max_drawdown,test_calmar
portfolio_5stocks,W6,42,pure_gift,Stage-B,2.83728138309145,0.5522990969431306,0.5093894258603131,10.183304616558091,0.7631638613190876
portfolio_5stocks,W6,42,ppo_test_only,Stage-E,8.512113324561344,1.2333532082733603,1.2316226420162804,10.470798866224289,2.0332667590349414
portfolio_5stocks,W6,42,ppo_train_plus_test,Stage-E,-0.6890661060993009,-0.07079706312777864,-0.06688654867182094,10.849448630961442,-0.08184240386852491
portfolio_5stocks,W6,42,equal_weight,Stage-E,8.566088123911019,1.1658300066422822,1.1207351889040775,12.217015066123714,1.7718230717360264
portfolio_5stocks,W6,123,pure_gift,Stage-B,2.474692286619651,0.48513882628124305,0.4349186265200583,11.530754855954472,0.6029334625931516
portfolio_5stocks,W6,123,ppo_test_only,Stage-E,14.189995293083957,1.8500199860219722,2.0248325297295247,9.114656343254248,3.7120314130630345
portfolio_5stocks,W6,123,ppo_train_plus_test,Stage-E,2.963868807231429,0.4904597095624371,0.47086894044705657,14.0518326232051,0.6139955387561873
portfolio_5stocks,W6,123,equal_weight,Stage-E,8.566088123911019,1.1658300066422822,1.1207351889040775,12.217015066123714,1.7718230717360264
portfolio_5stocks,W6,456,pure_gift,Stage-B,7.892046246635043,1.1231244206500697,1.1206229816509077,12.398272915225373,1.6129059203007992
portfolio_5stocks,W6,456,ppo_test_only,Stage-E,12.456956451469736,1.747513442983832,1.8866521377258687,9.75839894153799,3.0664312974206016
portfolio_5stocks,W6,456,ppo_train_plus_test,Stage-E,6.191342423872559,0.9683509428474738,0.9077896173493906,11.177239291117552,1.4235743827056921
portfolio_5stocks,W6,456,equal_weight,Stage-E,8.566088123911019,1.1658300066422822,1.1207351889040775,12.217015066123714,1.7718230717360264
portfolio_5stocks2,W1,42,pure_gift,Stage-B,12.503565192489429,2.5428554294137995,2.4872776483985697,3.5232480634442322,8.213740848088243
portfolio_5stocks2,W1,42,ppo_test_only,Stage-D,15.830306890647705,2.781506527536593,3.152613657915825,5.907087796468317,6.1173803301688
portfolio_5stocks2,W1,42,ppo_train_plus_test,Stage-D,1.62397983937288,0.40013816006632147,0.37359500868539125,4.95561128518848,0.9080805180141234
portfolio_5stocks2,W1,42,equal_weight,Stage-D,18.05861118402401,3.244651920953039,3.261632784193046,3.1506809027957874,12.904748815821318
portfolio_5stocks2,W1,123,pure_gift,Stage-B,15.272375901169056,2.8823922108402633,2.9847650969931574,4.7374932659030184,7.359282695017499
portfolio_5stocks2,W1,123,ppo_test_only,Stage-D,13.505281070196041,2.178101841736954,2.266305509283647,6.820086458940806,4.613114449467796
portfolio_5stocks2,W1,123,ppo_train_plus_test,Stage-D,24.59914579118079,4.133848650503496,4.576281916232569,2.8995396336499963,18.513644190003127
portfolio_5stocks2,W1,123,equal_weight,Stage-D,18.05861118402401,3.244651920953039,3.261632784193046,3.1506809027957874,12.904748815821318
portfolio_5stocks2,W1,456,pure_gift,Stage-B,13.23338727559802,2.954279683815868,3.1997922839918753,2.5878271703900344,11.736708475727372
portfolio_5stocks2,W1,456,ppo_test_only,Stage-D,15.269480163991279,2.7612967520982004,2.892327734351036,4.638920345807619,7.529304343532241
portfolio_5stocks2,W1,456,ppo_train_plus_test,Stage-D,11.599503082629404,2.1244612470569684,2.164140287485118,3.6763720558561195,7.390748835769514
portfolio_5stocks2,W1,456,equal_weight,Stage-D,18.05861118402401,3.244651920953039,3.261632784193046,3.1506809027957874,12.904748815821318
portfolio_5stocks2,W2,42,pure_gift,Stage-B,1.249856784987724,0.33264151716845114,0.30408793890694624,6.6983967570391725,0.5303009289311285
portfolio_5stocks2,W2,42,ppo_test_only,Stage-E,-2.04532820519443,-0.4379804268278388,-0.40194997836349305,6.430736398598401,-0.6908298121843459
portfolio_5stocks2,W2,42,ppo_train_plus_test,Stage-E,4.593080072014999,0.8873647975865208,0.8397871430111566,5.480978327640906,2.1242368532036178
portfolio_5stocks2,W2,42,equal_weight,Stage-E,5.336885332653862,0.9738935185894667,0.9276971877859119,4.916922091616435,2.732401971579166
portfolio_5stocks2,W2,123,pure_gift,Stage-B,-0.8824532514537964,-0.12824772555251923,-0.11935559642249108,6.749410266888393,-0.21768886294359055
portfolio_5stocks2,W2,123,ppo_test_only,Stage-E,2.239483824243771,0.46237391876280826,0.4244851315645161,6.162055834056492,1.0102221204309592
