dataset,window,method,method_label,n_seeds,mean_test_total_return,seed_sd_test_total_return,mean_test_sharpe,seed_sd_test_sharpe,mean_test_sortino,seed_sd_test_sortino,mean_test_max_drawdown,seed_sd_test_max_drawdown,mean_test_calmar,seed_sd_test_calmar
portfolio_5stocks,W4,ppo_test_only,PPO-TestOnly,3,-17.510388315869765,7.835724078889685,-1.3277634926078479,0.760115485641123,-1.413974815620272,0.7852897914579465,24.053613540523127,6.649585590027587,-1.6527313179785317,0.49405709545177273
portfolio_5stocks,W4,ppo_train_plus_test,PPO-Train+FineTune,3,-21.902458687455283,9.691741633989585,-1.7465560568046345,0.752729920944844,-1.8039772904070865,0.7371722465502888,26.674412415138363,10.264413596697374,-2.0058323758717087,0.3193732878581052
portfolio_5stocks,W4,equal_weight,Equal Weight,3,-19.58362939153977,0.0,-1.4039900808181507,0.0,-1.538675935802229,0.0,26.10836335660508,0.0,-1.7903131972940614,0.0
portfolio_5stocks,W5,pure_gift,Pure GIFT,3,21.969482585145602,2.5612748843817608,2.8728889591093014,0.3887971811508768,3.1569097408135076,0.436969577787696,8.746312702370336,1.7378749222398369,5.849754437456435,1.796920667814848
portfolio_5stocks,W5,ppo_test_only,PPO-TestOnly,3,28.6472508975606,10.23995380123835,2.894455965041592,0.6799058133038238,3.1423821222119397,0.6010865102622311,11.446298361671014,0.5453270835689736,5.504470727599233,1.9687911983215975
portfolio_5stocks,W5,ppo_train_plus_test,PPO-Train+FineTune,3,24.86041210948551,11.473199997251042,2.7322995556274776,1.0632045492477293,3.363796048683387,1.501507593971348,11.160836521009152,2.8983637977475016,5.327242209010736,2.804301014389483
portfolio_5stocks,W5,equal_weight,Equal Weight,3,31.418348894185666,0.0,2.9493936187654,0.0,3.225796489909804,0.0,12.167922871465512,0.0,5.616020329719121,0.0
portfolio_5stocks,W6,pure_gift,Pure GIFT,3,4.401339972115381,3.0284716334230803,0.7201874479581477,0.3505656549926739,0.6883103446770931,0.3762407966369863,11.370777462579312,1.1161163540682446,0.9930010814043461,0.5427982609905785
portfolio_5stocks,W6,ppo_test_only,PPO-TestOnly,3,11.719688356371678,2.909855511044439,1.6102955457597214,0.3304406787665055,1.7143691031572246,0.42374115270014767,9.78128471700551,0.6783608587550944,2.937243156506193,0.8468056876983094
portfolio_5stocks,W6,ppo_train_plus_test,PPO-Train+FineTune,3,2.8220483750015624,3.4423959913228726,0.4626711964273775,0.5201310370255546,0.43725733637487546,0.48820662848703816,12.026173515094698,1.7619116878902772,0.6519091725311181,0.7534241886509717
portfolio_5stocks,W6,equal_weight,Equal Weight,3,8.566088123911019,0.0,1.1658300066422822,0.0,1.1207351889040775,0.0,12.217015066123714,0.0,1.7718230717360264,0.0
portfolio_5stocks2,W1,pure_gift,Pure GIFT,3,13.669776123085503,1.435062578699387,2.7931757746899772,0.21974339270406537,2.890611676461201,0.3654694603274888,3.6161894999124287,1.077842596815086,9.103244006277704,2.3203180854632044
portfolio_5stocks2,W1,ppo_test_only,PPO-TestOnly,3,14.868356041611676,1.2133060980675237,2.573635040457249,0.3426908114076723,2.770415633850169,0.45555730020421126,5.78869820040558,1.0953919278559878,6.086599707722946,1.4583385956627204
portfolio_5stocks2,W1,ppo_train_plus_test,PPO-Train+FineTune,3,12.607542904394357,11.520706178007332,2.219482685875595,1.8686680582641004,2.371339070801026,2.108990946536473,3.8438409915648655,1.0382157975997148,8.937491181262255,8.904115731762476
portfolio_5stocks2,W1,equal_weight,Equal Weight,3,18.05861118402401,0.0,3.244651920953039,0.0,3.2616327841930457,5.438959822042073e-16,3.1506809027957874,0.0,12.904748815821316,2.175583928816829e-15
portfolio_5stocks2,W2,pure_gift,Pure GIFT,3,1.636828449142495,2.7333894687681193,0.3796090500198168,0.532895142994714,0.3595310930273469,0.5088785642964536,6.138509973367203,1.0142521282396513,0.8698964927284375,1.2913195634157348
portfolio_5stocks2,W2,ppo_test_only,PPO-TestOnly,3,0.7303857873600661,2.4068943716487543,0.15985512750508835,0.5177533001545274,0.16303966911493406,0.48974794734541705,5.991081513719689,0.5456173852959949,0.44519756531959936,0.9838331091952487
portfolio_5stocks2,W2,ppo_train_plus_test,PPO-Train+FineTune,3,3.1475609161120133,2.713315518962556,0.6206429587016214,0.4808138767638851,0.5872879875750304,0.4554073367535999,5.438502158686407,0.7470329445587615,1.6252159531489372,1.3166324252437933
portfolio_5stocks2,W2,equal_weight,Equal Weight,3,5.3368853326538614,1.0877919644084146e-15,0.9738935185894667,0.0,0.9276971877859119,0.0,4.916922091616435,0.0,2.7324019715791663,5.438959822042073e-16
portfolio_5stocks2,W3,pure_gift,Pure GIFT,3,-5.533601563611227,2.40733315915676,-0.42066916013120226,0.22129480909168817,-0.3524472319113848,0.1808888549057566,15.475195014142562,4.04552029063786,-0.6438643271453287,0.24959970370307583
portfolio_5stocks2,W3,ppo_test_only,PPO-TestOnly,3,-5.511987335278193,1.529474763302715,-0.4868416572978131,0.2330773128605615,-0.4233040872302279,0.20383075795972674,13.666488508487996,1.48214388888323,-0.7984853507379223,0.28512051941821936
portfolio_5stocks2,W3,ppo_train_plus_test,PPO-Train+FineTune,3,-10.344941849467482,4.038409187506875,-0.9705982885665801,0.33676114407998853,-0.8451055486754768,0.2845876322967033,15.3717862859297,5.397620576237629,-1.513059210526978,0.33622666951753305
