dataset,window,method,seed,method_label,test_total_return,test_sharpe,test_sortino,test_max_drawdown,test_calmar
portfolio_5stocks,W6,bollinger,deterministic,Bollinger Bands,-0.2922820664702508,0.04507292646854192,0.04206477519555067,10.35698901433392,0.07512157235231291
portfolio_5stocks,W6,turn_of_month,deterministic,Turn-of-the-Month,7.580531708343874,2.346194378410213,1.236394254918131,2.719177152088049,6.62150245263591
portfolio_5stocks,W6,xgboost,42,XGBoost,-12.799212332643627,-1.20711655484984,-1.1269919778293644,22.54258416647133,-1.3330954053181996
portfolio_5stocks,W6,xgboost,123,XGBoost,-5.3960434003667785,-0.4026879435683332,-0.43108009222779126,19.67725103719038,-0.519934158369556
portfolio_5stocks,W6,xgboost,456,XGBoost,1.7014868872492261,0.2903278692146512,0.302841164932966,16.38815757894558,0.4218716403180583
portfolio_5stocks2,W1,pure_gift,42,Pure GIFT,12.503565192489429,2.5428554294137995,2.4872776483985697,3.5232480634442322,8.213740848088243
portfolio_5stocks2,W1,pure_gift,123,Pure GIFT,15.272375901169056,2.8823922108402633,2.9847650969931574,4.7374932659030184,7.359282695017499
portfolio_5stocks2,W1,pure_gift,456,Pure GIFT,13.23338727559802,2.954279683815868,3.1997922839918753,2.5878271703900344,11.736708475727372
portfolio_5stocks2,W1,pbir,42,PBIR-GIFT,12.930180047497686,2.903437121289488,3.2126448986200167,2.9499188832682735,10.076253184134265
portfolio_5stocks2,W1,pbir,123,PBIR-GIFT,10.545110637921118,2.4952671324585345,2.600605401346382,3.8366132227224217,6.400447160088474
portfolio_5stocks2,W1,pbir,456,PBIR-GIFT,12.212471800916823,2.6747558813449577,2.8164112752172032,3.232214127961798,8.7323885460501
portfolio_5stocks2,W1,sma,deterministic,SMA,11.38696738958711,1.4857934488630369,1.650335104105241,10.271978825937412,2.6887809641833
portfolio_5stocks2,W1,wma,deterministic,WMA,8.569643499768919,1.128200970963761,1.2124419855176012,12.432233869879102,1.7345085658720885
portfolio_5stocks2,W1,atr,deterministic,ATR,7.598526791994176,1.0821835209145279,1.038203417610345,9.813553222172672,1.951004024220237
portfolio_5stocks2,W1,bollinger,deterministic,Bollinger Bands,16.52210903629929,1.845611194450967,2.1296226968619383,6.29570639940532,6.184962021977592
portfolio_5stocks2,W1,turn_of_month,deterministic,Turn-of-the-Month,7.6396710235451915,2.805035051963827,1.8317922572980192,2.657756754051008,6.726234583416108
portfolio_5stocks2,W1,xgboost,42,XGBoost,14.413701109105759,2.395126927246293,2.585174192781664,5.321521781913603,6.258168446599242
portfolio_5stocks2,W1,xgboost,123,XGBoost,14.2384080715509,2.2672224432753705,2.4293576410662467,5.052329101025761,6.537107596488855
portfolio_5stocks2,W1,xgboost,456,XGBoost,21.814317648005456,3.1739076146672858,3.628531640186716,5.87548389450228,8.266307597435008
portfolio_5stocks2,W2,pure_gift,42,Pure GIFT,1.249856784987724,0.33264151716845114,0.30408793890694624,6.6983967570391725,0.5303009289311285
portfolio_5stocks2,W2,pure_gift,123,Pure GIFT,-0.8824532514537964,-0.12824772555251923,-0.11935559642249108,6.749410266888393,-0.21768886294359055
portfolio_5stocks2,W2,pure_gift,456,Pure GIFT,4.543081813893557,0.9344333584435186,0.8938609365975856,4.967722896174042,2.297077412197775
portfolio_5stocks2,W2,pbir,42,PBIR-GIFT,5.068022026313401,1.101367527056962,1.0861339459672785,4.201841229853768,2.9783110915680284
portfolio_5stocks2,W2,pbir,123,PBIR-GIFT,4.365403128518897,0.8233874963263607,0.8579946241505106,6.287801592125445,1.7778403274405281
portfolio_5stocks2,W2,pbir,456,PBIR-GIFT,6.071666814533816,1.2181512386529378,1.1367523940267052,4.4793997584790715,3.326357185941078
portfolio_5stocks2,W2,sma,deterministic,SMA,1.5418989783299253,0.28941930706405095,0.2670806597226762,9.397960507867186,0.5801625496577001
portfolio_5stocks2,W2,wma,deterministic,WMA,2.038632109645744,0.3565280313058625,0.326917206109609,9.011391322505721,0.7230321610116129
portfolio_5stocks2,W2,atr,deterministic,ATR,0.9152163874381003,0.21881495312386104,0.21214841346673344,8.71651672137578,0.38790165408046506
portfolio_5stocks2,W2,bollinger,deterministic,Bollinger Bands,-8.21173635702821,-1.2842078813412638,-1.3552961157079761,8.907799162504638,-2.1796828596418276
portfolio_5stocks2,W2,turn_of_month,deterministic,Turn-of-the-Month,4.859276201285745,2.2361681660134263,1.587512380272223,2.0929768282454346,5.505321634464465
portfolio_5stocks2,W2,xgboost,42,XGBoost,5.951927111282851,0.9572822748398077,0.9746874217695206,5.088175656420863,2.9732942646644083
portfolio_5stocks2,W2,xgboost,123,XGBoost,4.361685353947742,0.7279456838598398,0.7704803532269064,5.401291904757088,2.1281659382826996
portfolio_5stocks2,W2,xgboost,456,XGBoost,3.769005599338593,0.6583576999099788,0.6678434041229311,5.383425883023816,1.8661372918548835
