dataset,window,method,method_label,n_runs,deterministic,mean_test_total_return,run_sd_test_total_return,mean_test_sharpe,run_sd_test_sharpe,mean_test_sortino,run_sd_test_sortino,mean_test_max_drawdown,run_sd_test_max_drawdown,mean_test_calmar,run_sd_test_calmar
portfolio_5stocks,W5,sma,SMA,1,True,16.76091711840524,0.0,1.3532287335823576,0.0,1.4485949909076894,0.0,19.308054472574007,0.0,2.176158875725337,0.0
portfolio_5stocks,W5,wma,WMA,1,True,25.844291352671746,0.0,1.9323978317510775,0.0,1.910093239198767,0.0,18.468596146421817,0.0,3.2521561293266408,0.0
portfolio_5stocks,W5,atr,ATR,1,True,20.130561590747664,0.0,1.7523495951974633,0.0,1.7121947840712968,0.0,16.50584617884534,0.0,2.894194790179031,0.0
portfolio_5stocks,W5,bollinger,Bollinger Bands,1,True,40.12718449405786,0.0,3.4810569888891623,0.0,4.009376183598592,0.0,4.607030693215792,0.0,18.23128950623823,0.0
portfolio_5stocks,W5,turn_of_month,Turn-of-the-Month,1,True,4.54657668008982,0.0,1.1955467035619194,0.0,0.8513263532257164,0.0,3.3595979413048918,0.0,3.3041529634448445,0.0
portfolio_5stocks,W5,xgboost,XGBoost,3,False,14.547217942803243,9.637403480686944,1.2498657963565531,0.7505266650704667,1.377686634379425,0.8976025244613988,23.3972096039829,4.996206806212223,1.7194723503240532,1.3010136480393844
portfolio_5stocks,W6,pbir,PBIR-GIFT,3,False,7.950508478357897,1.0666514040123898,1.2746299154276768,0.2405989334132902,1.2398167845001535,0.22516721907692508,9.274726948139998,2.9143781352468903,2.2885286876558966,0.7647221093063105
portfolio_5stocks,W6,pure_gift,Pure GIFT,3,False,4.401339972115381,3.0284716334230803,0.7201874479581477,0.3505656549926739,0.6883103446770931,0.3762407966369863,11.370777462579312,1.1161163540682446,0.9930010814043461,0.5427982609905785
portfolio_5stocks,W6,sma,SMA,1,True,-15.451745570476373,0.0,-1.3198297869561004,0.0,-1.0919887757819546,0.0,29.95432415976679,0.0,-1.2248426123685492,0.0
portfolio_5stocks,W6,wma,WMA,1,True,-9.174083355973472,0.0,-0.6828875184137932,0.0,-0.5814195649975115,0.0,24.671443635867014,0.0,-0.780731465674155,0.0
portfolio_5stocks,W6,atr,ATR,1,True,9.881356339836845,0.0,1.1932419714488656,0.0,1.2731793491426593,0.0,13.824542665961696,0.0,1.8107307162104376,0.0
portfolio_5stocks,W6,bollinger,Bollinger Bands,1,True,-0.2922820664702508,0.0,0.04507292646854192,0.0,0.04206477519555067,0.0,10.35698901433392,0.0,0.07512157235231291,0.0
portfolio_5stocks,W6,turn_of_month,Turn-of-the-Month,1,True,7.580531708343874,0.0,2.346194378410213,0.0,1.236394254918131,0.0,2.719177152088049,0.0,6.62150245263591,0.0
portfolio_5stocks,W6,xgboost,XGBoost,3,False,-5.49792294858706,7.250886431892964,-0.43982554306784066,0.7494126712051901,-0.4184103017080633,0.7150007669431278,19.53599759420243,3.079643819774929,-0.4770526411232325,0.8782690084526061
portfolio_5stocks2,W1,pbir,PBIR-GIFT,3,False,11.895920828778543,1.2236390033812046,2.6911533783643264,0.20457845286574133,2.8765538583945336,0.3104205764590557,3.3395820779841645,0.452992958470671,8.403029630090947,1.8599046892903337
portfolio_5stocks2,W1,pure_gift,Pure GIFT,3,False,13.669776123085503,1.435062578699387,2.7931757746899772,0.21974339270406537,2.890611676461201,0.3654694603274888,3.6161894999124287,1.077842596815086,9.103244006277704,2.3203180854632044
portfolio_5stocks2,W1,sma,SMA,1,True,11.38696738958711,0.0,1.4857934488630369,0.0,1.650335104105241,0.0,10.271978825937412,0.0,2.6887809641833,0.0
portfolio_5stocks2,W1,wma,WMA,1,True,8.569643499768919,0.0,1.128200970963761,0.0,1.2124419855176012,0.0,12.432233869879102,0.0,1.7345085658720885,0.0
